casefileId,lenderLoanNumber,borrowerLastName,executionType,remittanceType,servicing,rateLockExpirationDate,noteRate,loanAmount,submittedCommitmentExpirationDate,passThrough,passThroughPrice,netSRP,passThroughPriceNetSRP,product,userId
WDA42WAL2ZN,208349899,Miles,A,T,R2Y7,09/12/2012,0.01,590624,09/13/2011,Y,97,0.04,0.08,ZXEV,Proin.non.massa@lectus.edu
KYZ73WOJ8FJ,685557136,Mcintosh,E,R,M3M4,07/20/2011,0.09,622590,06/06/2012,N,8,0.00,0.02,BUQY,consectetuer.adipiscing@magnaetipsum.com
KLY90RBI3QN,918457188,Cantu,C,X,Y7V2,06/28/2012,0.06,626397,08/05/2011,Y,6,0.00,0.02,AYHR,dolor.tempus.non@magnis.edu
AUZ43TPE6TG,569396077,Baldwin,B,T,Z3K9,02/12/2012,0.00,434566,06/09/2011,Y,16,0.04,0.04,DYTX,ornare.lectus@Morbinon.edu
CYE49VMS5NU,241741103,Mccarty,M,L,N2J0,01/20/2013,0.01,883488,04/17/2012,N,35,0.09,0.02,NLFI,libero.lacus.varius@Donecfelisorci.org
EYU83ZAM2PZ,711013947,Valenzuela,U,F,J9N2,12/25/2012,0.08,407596,10/08/2012,Y,54,0.05,0.06,ILBH,dictum.ultricies@convallisdolor.com
HDS32BIU7GP,955484859,Irwin,G,H,X3P3,10/16/2011,0.08,190493,09/05/2011,N,35,0.04,0.04,BWUC,id@velitSedmalesuada.edu
UZS28DFL1RR,459098221,Patton,U,F,O5I7,10/03/2011,0.01,161654,02/03/2013,N,31,0.09,0.01,AGYE,nisl.Maecenas@magna.edu
SRB75XZW0RQ,321693706,Reese,F,Q,A1V4,01/28/2012,0.05,110150,11/15/2011,Y,63,0.08,0.02,ROWP,ac.orci@Inmipede.com
ALN64WLN4ES,118964020,Stokes,N,S,L3I9,09/01/2011,0.00,15510,07/01/2012,N,43,0.00,0.06,YQAU,Sed@luctus.edu
KLC31NKK5HX,272663688,Morrow,M,T,H5N3,05/31/2011,0.00,795705,04/03/2013,Y,28,0.01,0.00,JNFX,non.justo.Proin@adipiscinglobortis.org
TXV36FZM0QY,794334097,Figueroa,A,C,V2A7,06/29/2012,0.08,456454,02/23/2013,Y,39,0.01,0.08,FOML,mattis.ornare@atsem.ca
FCH53TQI5XJ,675644038,Estes,G,B,V7M3,07/15/2011,0.06,921966,09/06/2012,Y,51,0.01,0.06,URAO,mus@In.org
RYH33TKU5RB,647084039,Castillo,Z,S,V9H1,08/17/2012,0.03,366529,09/17/2012,N,100,0.00,0.02,HJQA,a.facilisis.non@Nunclaoreet.com
FXF37QIC5MC,220543973,Woods,Z,Q,J6Q1,05/04/2011,0.00,238690,06/29/2011,Y,52,0.04,0.04,TTFJ,sollicitudin@placeratCrasdictum.com
FVL72VSZ1RZ,806416771,Carr,E,Y,X3H9,07/21/2011,0.07,239899,12/31/2012,N,11,0.04,0.03,OFPK,hendrerit.Donec.porttitor@nullaDonec.org
JRE88VOO0RS,950258409,Vinson,J,M,D9W0,04/20/2012,0.05,420887,05/29/2012,Y,8,0.07,0.03,GQEC,Nunc@cursus.com
ALN29ITA2RK,683598959,Riggs,X,E,K0G5,08/04/2012,0.07,337696,01/24/2013,N,19,0.03,0.08,SQXA,neque.et@Aliquam.com
YYQ48MLL4FI,564821163,Lara,O,B,E4B5,10/01/2012,0.03,295285,12/14/2011,Y,67,0.02,0.06,HSMU,at@Nullam.edu
TAQ52VSX1GM,249392669,Sellers,H,G,N7B6,02/13/2013,0.06,229975,01/17/2013,N,89,0.09,0.00,NOIJ,arcu@eunibh.org
VYP19XTP8OX,006172381,Grant,Y,S,X2C2,07/17/2011,0.05,653305,03/13/2012,Y,20,0.04,0.06,UPQS,primis@etrisus.edu
QZT77BDQ2NP,948063735,Clark,B,J,T6B0,01/13/2013,0.09,604822,03/19/2012,Y,4,0.02,0.09,UATW,volutpat@parturient.ca
CCV17FVD7AE,178287887,Beasley,V,P,C5M2,10/21/2012,0.09,575229,01/11/2012,Y,92,0.06,0.00,TUUZ,consequat.lectus@Praesenteudui.edu
XLY03SXE4YZ,005525124,Rojas,H,E,O0E2,03/07/2013,0.09,896500,10/31/2011,Y,4,0.07,0.02,ZWOR,Donec.tincidunt.Donec@ultrices.org
GUH80UYH2TO,436555436,Duffy,Q,P,D2G8,10/18/2012,0.09,422267,05/31/2011,Y,67,0.06,0.03,YNMT,diam.Proin@suscipitnonummyFusce.com
KOY90OML1SB,782072438,Burks,U,V,Q2P1,08/27/2011,0.00,587635,09/12/2012,N,33,0.00,0.08,HZYV,dapibus.ligula@eleifend.com
TAS77YFE8IY,691201835,Sexton,G,U,V1Q2,04/04/2012,0.05,630190,11/05/2011,N,2,0.03,0.05,TEHR,vel.est@euneque.com
DQO37SFC2AI,085611261,Nguyen,D,W,V4O1,07/18/2012,0.08,27857,04/24/2012,Y,24,0.01,0.05,UNGN,montes.nascetur.ridiculus@nuncinterdumfeugiat.org
TQF37IRK4IN,319838820,Bean,U,V,P0I3,10/16/2011,0.03,49220,02/06/2012,N,3,0.07,0.07,GFMO,Phasellus.nulla.Integer@eu.com
JJJ27ECZ1ET,077301311,Chavez,W,K,J3Z2,10/04/2012,0.02,995679,07/26/2012,N,64,0.03,0.08,ZOOD,enim.Sed.nulla@turpis.com
IPC66FAV3FS,750772728,Bowers,B,W,R6A3,09/21/2012,0.01,353358,01/20/2012,N,46,0.06,0.07,OIMT,mi.enim@tempor.edu
XDB69IKE2MF,018149464,Case,M,Z,M9T8,05/05/2011,0.02,879253,04/07/2011,N,27,0.07,0.05,ILMQ,sociis.natoque.penatibus@erosnectellus.ca
YLS09RNP1RB,119802745,Lloyd,B,V,Z5M8,07/02/2012,0.01,329515,03/25/2013,N,5,0.02,0.05,TIML,sed.sapien.Nunc@velnisl.edu
RSC57IIF8WH,688169470,Reynolds,H,T,C7E9,05/11/2011,0.08,754664,09/29/2012,N,90,0.04,0.01,ZAXH,massa@tempor.com
VAF96FMK2GS,934122971,Haley,X,D,K8L7,03/18/2012,0.09,575182,10/20/2011,Y,36,0.04,0.09,OKPU,non.sollicitudin.a@CraspellentesqueSed.org
ZLE17LCL6MI,781150744,Carr,L,A,O0U4,10/07/2011,0.00,776014,03/08/2013,Y,79,0.07,0.09,ZXRL,pellentesque@molestie.com
UIP99RSK1VV,138879637,Hinton,H,S,I9D3,06/10/2011,0.00,192618,04/26/2011,Y,51,0.09,0.01,CYBT,Ut.sagittis@elementumduiquis.com
ZVF86ENY9YF,631762947,Ware,Q,V,W7P4,11/04/2012,0.01,445594,05/07/2012,Y,52,0.04,0.07,THKX,ullamcorper.viverra.Maecenas@euplacerateget.org
LCT27YEF6DW,595047542,Washington,F,A,G6X0,06/03/2012,0.09,725111,04/23/2012,Y,58,0.01,0.09,IJQH,malesuada.vel@pellentesquemassalobortis.org
LRH51BBP3AV,324224010,Chaney,B,I,O7P1,11/07/2012,0.05,544347,01/04/2012,Y,29,0.00,0.04,ONRQ,aptent.taciti@suscipitestac.edu
IVN61YPH9UI,230845328,Hawkins,S,L,Y3B5,02/26/2013,0.06,48974,07/24/2012,N,71,0.03,0.09,FZCE,Nulla.dignissim@Quisque.org
KST21IQJ1AB,694750767,Cardenas,P,Z,D7D7,07/10/2012,0.00,269272,02/07/2012,N,79,0.06,0.08,NXYV,a.auctor@enim.com
ROU30WDR6HG,549710028,Nicholson,D,J,O0F0,10/02/2012,0.03,230462,01/29/2013,Y,77,0.08,0.02,OHGK,Aliquam.tincidunt@arcu.edu
QDE32FJP0BS,467661839,Prince,O,N,A8X4,02/12/2012,0.07,939335,08/16/2012,N,94,0.05,0.02,CXOI,sem@Cumsociis.ca
UYQ36VGZ7ZO,303241150,Peters,W,E,Q4M9,06/19/2011,0.05,838690,04/18/2012,N,44,0.06,0.01,CAUY,consectetuer@Curae;Phasellusornare.com
AGS26WLH9DD,075571395,Alexander,D,R,A9P2,09/15/2012,0.07,330022,02/20/2012,Y,5,0.03,0.07,UQLQ,Nunc@dictumPhasellus.ca
QZK16OOQ1OT,856483734,Cantrell,D,E,T5V8,06/14/2012,0.02,355401,10/04/2011,Y,10,0.09,0.09,NEQC,Cras.lorem.lorem@Aliquam.ca
CXQ57ZID4MH,528300701,Phelps,Z,S,W6U5,07/02/2011,0.08,45154,02/16/2013,Y,86,0.01,0.07,MRNM,montes@tortornibhsit.ca
MSU87XPT0IT,723582660,Rivers,M,O,M0B4,05/25/2012,0.06,945584,12/16/2012,Y,65,0.04,0.06,LHKI,Donec.est.mauris@nonummyFusce.ca
GLG82LLY5GK,064110017,Knowles,U,E,U1N6,09/01/2011,0.02,955506,06/28/2012,Y,18,0.01,0.03,KAPW,id.blandit@acorci.ca
MKI65KSR1FM,306879760,William,Y,M,Z5J4,09/19/2012,0.00,761044,11/16/2011,N,96,0.02,0.05,HWDR,lorem.Donec@pharetrafeliseget.com
DVX95VTE9SC,476716536,Rojas,X,X,R0P2,05/28/2012,0.08,419771,12/25/2012,N,19,0.05,0.09,CNMY,Cum@utpharetrased.ca
GRK08BPE7JC,601220632,Cooper,I,H,S7F9,01/31/2013,0.04,70094,01/25/2013,Y,20,0.03,0.05,PJKR,cursus.in.hendrerit@egetvolutpat.org
AJU26VXA0CI,381575667,Waller,G,J,H6A2,05/16/2012,0.02,401647,08/17/2011,Y,92,0.04,0.09,SRON,magna.Ut@fermentummetus.ca
VMC32RZX4YD,828840209,Moran,Z,R,H5E8,09/20/2011,0.01,718058,08/30/2012,Y,7,0.05,0.09,DYFU,interdum.enim.non@nulla.edu
BCA85CCQ0TQ,701982643,Cochran,J,M,D5H0,10/27/2012,0.06,531756,10/02/2012,Y,90,0.05,0.00,XLRA,Donec.sollicitudin@mi.ca
TJC62JHR6MB,166462961,Mason,S,C,A3C5,08/05/2011,0.06,159673,05/11/2012,Y,64,0.09,0.02,SPNB,nec.malesuada.ut@MorbimetusVivamus.edu
YYW36DJH3YZ,493550747,Miller,T,K,F2M1,04/27/2011,0.04,261127,10/08/2012,N,68,0.01,0.04,NPBR,ac.libero.nec@massa.com
LWS94TRX4IQ,859363610,Sharpe,N,O,K5F3,03/12/2013,0.09,238128,12/13/2011,N,25,0.06,0.01,YRQS,Nullam.enim@mus.edu
BFC48LBZ4XM,030279402,Case,F,E,V8W1,06/30/2012,0.03,41521,04/23/2011,Y,55,0.00,0.00,QNZC,vulputate.posuere@felispurus.com
OVM75MGO7KT,825749724,Sykes,K,C,K3E0,11/25/2011,0.02,723325,01/21/2012,Y,72,0.02,0.03,FBWS,neque@commodoauctor.edu
HXT03RWQ1TA,213416163,Higgins,Z,O,M8H7,03/03/2012,0.03,682664,06/03/2012,N,49,0.09,0.03,FARX,sit.amet.massa@venenatis.com
HUR79HWP6HP,274557192,Christensen,H,M,F9K0,06/01/2011,0.02,436829,11/02/2012,Y,60,0.07,0.05,GLLO,senectus@Proin.org
MJE98YEV2ID,751064530,Duncan,W,H,S3V0,12/17/2012,0.03,68168,07/26/2012,Y,6,0.05,0.09,FNWD,aliquet.lobortis.nisi@metuseu.ca
BPY12JSO3YL,667461521,Bray,H,J,Q1N3,11/17/2012,0.08,887332,09/30/2012,N,69,0.09,0.09,QCDA,In.condimentum.Donec@duinec.edu
BKX50ACJ1FQ,587016943,Turner,K,Z,A5Z8,09/07/2012,0.02,387920,05/21/2011,Y,44,0.04,0.09,IAAI,varius@disparturient.edu
BEU12KCU7ZE,607680044,Lancaster,J,T,N4C6,08/03/2011,0.08,598469,08/28/2012,Y,83,0.06,0.01,PUKA,nec.malesuada.ut@Aliquamfringillacursus.com
MWC17CFC5SM,229387985,Mills,Z,D,K3E2,07/28/2011,0.05,947031,01/11/2013,N,93,0.04,0.09,AORC,fringilla.mi.lacinia@lobortismauris.com
XSF36YHL4XK,637753762,Case,R,H,S3K4,11/19/2012,0.01,33870,01/15/2012,Y,47,0.09,0.06,RGGP,Morbi.quis@porttitor.edu
RTX43GFB5JS,800252247,Dean,D,K,M4Z0,07/01/2011,0.01,46495,10/27/2011,N,26,0.07,0.02,EFPL,iaculis.quis@ametconsectetueradipiscing.com
VWL04SIX4OA,804805858,Mathis,V,Z,T4L1,08/30/2011,0.00,404908,01/05/2012,Y,42,0.02,0.08,WHFO,odio.Aliquam@augue.edu
VGP63EMX0BS,081492896,Blackwell,U,M,J0B9,03/27/2013,0.01,70962,03/04/2012,N,29,0.08,0.04,XNTB,pede.nec.ante@Fusce.com
DWN58SKU3MP,886887900,Soto,L,X,J2Z3,12/05/2012,0.08,71728,02/02/2012,N,25,0.01,0.02,UTCM,id@montesnasceturridiculus.com
RMC53VOJ8KU,770718751,White,V,X,S9K8,06/15/2012,0.08,232872,07/05/2011,Y,35,0.09,0.00,LMJG,quis@libero.org
VFN53KHX5GT,496885038,Walsh,K,H,K7O4,09/01/2012,0.04,662924,11/22/2012,Y,100,0.04,0.00,NAKX,Duis@sapiencursus.edu
VOT64HRU1PF,409044624,Clayton,I,Y,F7W5,03/02/2012,0.00,281020,02/22/2012,N,11,0.01,0.06,WTCD,nulla.Integer@purus.edu
TAB74NMT9QC,988738049,Clements,C,V,X1Z3,11/28/2012,0.00,262906,04/13/2012,N,16,0.00,0.03,FUUT,enim@risusaultricies.org
QSL40IMN2RP,158188310,Hammond,N,F,E2Y4,01/01/2013,0.08,661300,09/16/2011,N,44,0.02,0.00,WSBF,tellus@convallisin.edu
QLZ73WCN8MB,063001735,Albert,I,M,S3R9,04/10/2011,0.09,154751,07/23/2012,Y,17,0.07,0.02,DNOA,orci.Donec@nonarcuVivamus.edu
ZTM07QTD2TL,648338519,Fischer,J,D,U9D4,03/29/2012,0.00,4537,08/10/2011,Y,17,0.09,0.02,QZAH,leo.elementum.sem@mattissemper.org
EYL53HBM2JW,318558509,Kent,I,Q,M3X2,12/08/2012,0.04,417688,06/02/2011,Y,11,0.06,0.06,OEAV,id@Duis.com
MSE92ANI0AR,650575946,Mckinney,D,E,T1Z9,06/15/2011,0.06,65495,04/20/2011,Y,7,0.05,0.02,GNNG,Proin@sed.org
YON52ANT6CX,780787838,Griffith,Q,B,X1I9,06/09/2011,0.00,598422,04/02/2012,Y,56,0.05,0.05,CBWC,sit.amet@orcilacusvestibulum.org
NNO23IDU1MK,135436031,Meyers,W,G,R7J2,07/15/2012,0.03,115904,09/11/2011,Y,84,0.06,0.04,KYVS,enim@eleifendnondapibus.edu
AYP42FPO3FL,681014103,Rivera,L,S,S2L7,06/27/2012,0.08,273334,10/09/2011,N,87,0.02,0.02,LUMR,vehicula.risus@magna.com
RLP75CVP3QB,133501830,Bray,Q,N,W1E2,09/17/2011,0.01,213573,07/01/2012,Y,60,0.09,0.02,FQWH,enim.diam@arcuAliquamultrices.com
UKU35ZDX0GN,516637813,Rowland,M,O,K3W8,07/17/2012,0.07,538997,09/20/2012,Y,24,0.03,0.03,ARWZ,metus.facilisis.lorem@senectus.com
NEX15RCT0XF,635412915,Garrett,N,O,Z3O8,08/08/2012,0.01,541759,01/12/2012,Y,46,0.00,0.00,JGQB,Nullam.nisl@lorem.org
SOE17LDX9MK,548029614,Norton,G,U,Y8V2,02/01/2012,0.02,928122,06/11/2011,Y,88,0.06,0.00,AUWM,metus.vitae.velit@eleifendCras.edu
AXZ01YSI3JP,134967915,Leach,G,P,H0C2,02/22/2012,0.08,569182,01/06/2012,Y,100,0.05,0.05,ZRSX,accumsan.sed@nunc.org
KBC36UGV3UB,901039699,Cunningham,N,Y,W2V2,03/22/2013,0.02,82955,04/03/2012,Y,92,0.04,0.00,ZVTU,eget@Integer.org
DZT13TVH7BU,690412512,Barker,G,F,W9Z9,12/13/2012,0.05,144895,12/20/2012,Y,14,0.02,0.08,XLCQ,Nam@diamDuis.edu
AGF53MBO7CU,997992074,Gates,O,I,U6Z0,11/20/2011,0.00,341512,02/20/2012,N,25,0.03,0.05,LWZY,cursus.vestibulum.Mauris@eratsemper.com
OAD49KOS8XG,169170412,Snow,S,S,S6Q6,01/20/2012,0.02,281928,08/17/2012,Y,63,0.08,0.06,TJQE,penatibus.et.magnis@eleifend.org
FNO32OWI8SA,547109476,Fields,L,J,Q0N5,03/17/2012,0.03,541270,06/10/2012,N,100,0.07,0.08,NCDC,elementum.dui.quis@etmagnisdis.com
LBF51FAX8HI,193747287,Zamora,T,I,C8K0,09/30/2011,0.03,326651,08/05/2011,Y,85,0.07,0.07,BIWH,nunc@diam.edu
IOM00HHX0HR,335749107,Stanton,V,V,F7C5,07/29/2012,0.04,227264,01/14/2012,N,56,0.05,0.06,BPSI,id.libero.Donec@ipsumPhasellus.com
TPW59UQC5NX,376420636,Curtis,B,R,U7Z6,08/10/2012,0.04,352498,08/08/2011,Y,72,0.00,0.04,PQMJ,nunc@lacusQuisqueimperdiet.com
FNB67DJD7OE,439403790,Stanley,K,R,N8A7,10/18/2011,0.04,916006,03/28/2013,Y,89,0.01,0.01,YVWC,dolor@infaucibusorci.edu
HCD71NMC5JN,284368227,Gray,I,R,E1T3,09/13/2012,0.01,611017,06/28/2011,N,35,0.09,0.01,MPIZ,in@enimdiam.ca
WHI19EJD8TL,596328931,Schmidt,M,Q,L7Q5,10/16/2012,0.02,219260,01/27/2012,Y,16,0.00,0.02,MGEQ,at.auctor@Pellentesqueultricies.ca
CGK45FIV3DI,951613804,Vaughan,H,Z,E4Q7,12/22/2012,0.07,159825,11/01/2012,N,51,0.02,0.03,XRXC,condimentum.Donec.at@feugiatmetus.edu
LSD08MYW9WE,906573698,Waters,H,U,P1X5,09/30/2012,0.09,354893,01/14/2013,Y,94,0.08,0.04,CXFO,iaculis.odio.Nam@natoquepenatibus.com
LRX94HRJ1PR,928877246,Alvarez,X,T,X1I7,12/01/2012,0.02,830610,03/31/2012,N,47,0.02,0.01,JFOQ,pede.Suspendisse.dui@nectempusscelerisque.org
TRL54FUZ8VW,670942886,Berger,Z,A,H5R1,02/16/2013,0.05,453107,07/20/2011,Y,13,0.01,0.02,PUTU,orci.luctus@aliquetProinvelit.org
IDP35VDL5FL,540165626,Simon,O,F,Q3A2,06/06/2012,0.00,689614,02/04/2013,Y,64,0.00,0.07,GIIB,ipsum.dolor@ornareplacerat.edu
CDG27TYA3UO,648668325,Glenn,A,U,R3V1,03/07/2012,0.01,413426,12/05/2011,Y,36,0.05,0.09,PVSI,pede.blandit.congue@justoPraesentluctus.com
JZD96AHX5QY,332144637,Bullock,H,J,Y0S6,07/06/2012,0.07,451778,05/26/2012,N,4,0.08,0.02,EUVF,ipsum@duiSuspendisseac.org
DBZ35KXW1AD,591268789,Lindsay,B,C,I9I4,09/30/2012,0.06,96792,09/01/2011,N,37,0.02,0.02,JNUT,Cum.sociis@Sedauctorodio.ca
NKZ70XNX8BZ,938285399,Macias,F,G,C9A5,08/04/2011,0.06,979487,06/11/2011,Y,51,0.04,0.03,MHKJ,Aenean.gravida.nunc@Phasellus.com
CGE30TRA6GF,932989974,Hewitt,E,X,S5G5,05/12/2011,0.09,457132,01/24/2012,N,21,0.05,0.06,KXTD,Sed.nec@purusNullamscelerisque.ca
SEF60DOV5ZZ,465624166,Perry,H,B,Q0F2,06/13/2011,0.07,977729,04/15/2011,N,78,0.06,0.02,AIHD,cursus.non.egestas@quamPellentesque.edu
CNQ77DYJ8QQ,826054062,Pierce,Y,F,A2I9,02/21/2013,0.03,993851,04/16/2011,Y,45,0.00,0.02,CWAF,molestie.dapibus.ligula@vel.edu
XTR92CAY3TW,581874849,Vance,T,A,U7G5,01/13/2013,0.01,256729,08/30/2012,N,15,0.01,0.07,UDAX,vel@leo.ca
STZ54LKX3HQ,303665866,Baker,K,L,E4J3,01/11/2012,0.03,550492,03/18/2012,N,23,0.02,0.00,EVMQ,scelerisque@vehicula.edu
KPK02XWX5XI,007341973,Collier,T,N,Z2E1,02/24/2013,0.06,179663,02/21/2012,Y,66,0.05,0.02,BPNZ,vestibulum.neque@eleifendvitae.org
PLM98PXP9CJ,406622899,Hart,G,Z,Z7Y4,05/13/2012,0.02,504636,11/15/2012,Y,96,0.00,0.02,LBDA,vel.pede.blandit@ascelerisquesed.edu
LDS04YXJ8IQ,824776256,Gross,T,B,L8C3,05/11/2012,0.06,48211,12/23/2011,N,74,0.04,0.05,LPYK,libero.nec@lacus.ca
CCK87CDI6NB,799836873,Graves,H,U,Y2F4,04/10/2012,0.05,474439,04/05/2012,N,57,0.05,0.03,ZLDB,quis.massa@Innecorci.org
MAM33CEC4OJ,246491917,Joseph,M,T,X5U4,03/14/2012,0.00,559949,02/23/2012,Y,52,0.00,0.06,ZJYC,ac.urna@Proineget.com
TPZ25EDR9PD,657407052,Boyle,F,G,M1I0,10/11/2012,0.01,860283,03/16/2012,N,59,0.06,0.07,PVGT,ante.dictum.mi@maurissagittisplacerat.edu
JBU80NWR7ZW,040342268,Shannon,J,K,Q6E5,10/04/2012,0.05,869793,06/25/2012,N,64,0.02,0.01,KCGY,euismod.et.commodo@felisadipiscingfringilla.ca
SJU08AHM8DW,275430247,Landry,R,D,P8B5,10/03/2011,0.07,764015,07/28/2011,Y,55,0.04,0.08,JOTJ,dui.nec.urna@dolor.edu
LSP80RDO4QF,521688334,Smith,F,U,K9E2,01/26/2013,0.01,363148,06/01/2011,N,25,0.08,0.08,VRZN,magnis.dis.parturient@aliquetliberoInteger.org
MRV04SMU1IZ,979190413,Everett,A,E,Y9R7,10/01/2012,0.05,633120,03/24/2013,N,26,0.01,0.07,CFGV,mollis.Phasellus.libero@Etiamvestibulummassa.edu
YTZ07BNW3UX,578244856,Whitney,I,T,E5O8,11/04/2012,0.06,532620,11/05/2012,Y,69,0.04,0.06,RMJS,cubilia@elit.edu
PMA79KQM0PU,873360957,Greer,G,J,W6B8,12/28/2011,0.08,127182,10/17/2011,Y,97,0.07,0.01,ZNBK,Sed@Suspendissesagittis.com
HOS62TOU4XA,876864024,Perkins,L,K,F5U3,10/20/2011,0.00,267150,02/20/2013,N,36,0.05,0.06,BEXU,orci.consectetuer.euismod@eget.org
BKJ90WZI2RU,692423746,Frazier,C,T,N9O2,07/23/2012,0.07,806474,05/16/2011,Y,44,0.08,0.03,VVJR,Donec.at.arcu@nequeInornare.org
QKU16CXC7FE,571098883,Richard,E,D,P5U4,04/07/2011,0.02,715035,09/25/2011,Y,79,0.03,0.02,OMZR,mollis.Phasellus@Donecnon.edu
ZIK02HYD5SI,738471169,Lowe,X,M,A8E4,11/14/2012,0.09,632785,05/01/2011,N,16,0.06,0.03,ORQV,risus.Duis@aliquetdiam.edu
DRZ64DUA0IY,537787388,Wilson,F,L,R8G3,09/08/2011,0.06,675835,09/13/2012,Y,78,0.07,0.03,TKTX,in@Etiamgravidamolestie.org
MXN27GPO1OT,526752420,Dyer,O,V,R3S8,11/02/2011,0.01,641003,02/16/2012,N,86,0.01,0.02,JJZP,ante.iaculis.nec@duilectusrutrum.com
GSX02FMM2TB,043725363,Lewis,Y,T,X9J8,01/12/2012,0.04,82180,06/26/2011,N,78,0.03,0.00,SJHX,aliquet.Phasellus.fermentum@malesuada.ca
FBF93SJZ0XX,878263290,Mercer,Z,U,Z2R8,02/08/2013,0.00,809644,01/30/2012,N,88,0.00,0.05,BZWU,ac.mi@luctusetultrices.org
SAO96WFP9VO,788369217,Daniels,R,W,F5Q5,01/05/2012,0.03,520077,03/29/2012,Y,9,0.02,0.07,REKN,libero.dui@ametdiam.org
FBK67IVX1BP,921674155,Hall,I,F,O7T9,09/23/2011,0.07,248903,02/04/2013,N,32,0.04,0.02,TCZB,accumsan.laoreet.ipsum@Lorem.com
EGP70BXP6HY,886574897,Fry,G,N,L2P3,05/10/2011,0.01,774140,02/21/2012,N,62,0.09,0.06,FSRH,inceptos.hymenaeos@anteMaecenasmi.edu
TUX35IEO1MU,690121967,Townsend,H,A,Q9H2,07/10/2012,0.02,210726,11/21/2012,N,42,0.09,0.09,HHOQ,magna.Sed@leoMorbineque.ca
JXY51DNV9KC,900232456,Harris,M,Z,S0Q1,01/15/2012,0.01,379184,07/17/2011,N,8,0.07,0.00,AHGE,turpis.egestas.Fusce@Phasellus.edu
ZGF25MQB1BN,175797107,Taylor,D,V,E3Z9,04/14/2011,0.04,58951,11/20/2011,N,63,0.00,0.03,WHXI,Integer.sem.elit@miAliquam.com
RSB46TPS5MV,362366472,Jones,E,D,T0M6,11/23/2011,0.00,975701,01/27/2012,Y,53,0.06,0.03,OBZI,Nunc.ullamcorper.velit@vitaepurusgravida.org
HVT64LBF7OK,834395260,Valencia,Z,P,Z9Y6,11/20/2012,0.06,842817,08/24/2012,Y,23,0.01,0.06,ZTCK,nec.tellus.Nunc@iaculis.org
YRE26ROH7MH,342219191,Dudley,O,E,A6P8,08/26/2011,0.09,710402,10/29/2012,N,63,0.06,0.08,UYNM,sit.amet@Suspendisse.edu
OKI85HZK4FY,625205921,Mcfadden,D,X,N6K0,11/25/2012,0.04,603487,09/10/2011,Y,47,0.01,0.03,UZWB,Donec.egestas.Duis@velturpis.edu
DLV35IHU4WX,345749333,Lawrence,T,E,N6G4,10/19/2011,0.09,766897,08/04/2012,Y,14,0.09,0.01,YHQG,Cras.sed@arcuCurabiturut.com
CVV82SFR1TK,220579240,Cooley,O,A,M1H0,11/20/2011,0.06,997520,06/11/2012,N,92,0.00,0.03,TYPL,ut@semsemper.org
VES39QQJ7VX,731037086,Bray,E,J,A7V1,10/04/2012,0.00,391565,08/16/2011,N,68,0.02,0.02,JPEA,vel@vitaeorciPhasellus.com
MJO47GMO9PT,265085491,Perry,E,O,H3O5,12/03/2012,0.08,302694,07/21/2011,Y,31,0.07,0.09,WGRC,per.conubia.nostra@lacinia.edu
HZN37AWS2PW,782340603,Heath,Y,G,Q6J3,08/05/2011,0.09,368564,12/26/2012,Y,93,0.06,0.07,LBNL,eu.ligula.Aenean@Donecnibh.edu
